CustomerID,Age,Tenure months,Contract type,Internet service,Monthly charges,Total charges,Payment method,Support calls last month,Churn
20808,44.0,41,month-to-month,Fiber optic,49.43,2052.18,,3,yes
20893,41.0,22,one-year,DSL,81.27,1800.4,Credit card,3,no
20589,40.0,63,month-to-month,None,25.65,1617.39,Direct debit,4,no
20218,50.0,58,month-to-month,None,34.85,2031.89,Direct debit,5,yes
20449,26.0,50,month-to-month,DSL,86.66,4349.0,Bank transfer,2,no
20741,27.0,3,two-year,Fiber optic,48.53,155.6,Bank transfer,2,no
20365,69.0,50,two-year,Fiber optic,111.77,5617.79,Bank transfer,5,no
20485,18.0,3,two-year,None,18.05,46.13,Credit card,2,no
20890,76.0,66,one-year,Fiber optic,95.79,6337.49,Credit card,5,no
20468,,14,month-to-month,DSL,100.41,1404.42,Bank transfer,1,no
20755,,6,two-year,Fiber optic,83.22,516.24,Direct debit,3,no
20430,45.0,47,month-to-month,Fiber optic,74.08,3488.04,Direct debit,1,yes
20086,24.0,10,month-to-month,Fiber optic,115.77,1185.58,Direct debit,3,yes
20331,80.0,63,two-year,Fiber optic,,4626.1,Credit card,5,no
20626,44.0,43,month-to-month,DSL,75.23,3248.42,Direct debit,4,yes
20334,72.0,29,month-to-month,Fiber optic,59.95,1761.09,Bank transfer,4,yes
20107,80.0,39,month-to-month,Fiber optic,,3455.02,Bank transfer,1,yes
20210,55.0,47,month-to-month,Fiber optic,65.96,3117.48,Credit card,1,no
20260,80.0,10,one-year,DSL,60.92,636.82,Credit card,1,no
20802,68.0,1,two-year,None,32.27,44.89,Credit card,2,no
20352,33.0,49,month-to-month,None,22.0,1081.74,Direct debit,0,no
20215,52.0,48,month-to-month,None,33.63,1636.97,Credit card,1,no
20529,81.0,19,month-to-month,DSL,79.26,1532.05,Direct debit,3,yes
20655,25.0,52,two-year,Fiber optic,93.03,4867.38,Direct debit,0,no
20678,42.0,70,month-to-month,Fiber optic,104.67,7337.21,Bank transfer,3,yes
20362,40.0,32,one-year,None,34.54,1101.1,Direct debit,5,no
20538,23.0,35,month-to-month,DSL,75.17,2622.73,Bank transfer,3,yes
20926,83.0,65,one-year,Fiber optic,78.31,5099.87,Direct debit,1,no
20798,,9,one-year,None,33.92,323.41,Direct debit,1,no
20518,33.0,53,month-to-month,Fiber optic,91.76,4865.16,Credit card,1,no
20055,80.0,41,month-to-month,Fiber optic,94.33,3894.82,Credit card,2,yes
20265,42.0,66,two-year,Fiber optic,105.22,6969.55,Credit card,7,no
20296,25.0,39,month-to-month,None,38.58,1497.09,Bank transfer,0,no
20787,68.0,48,month-to-month,Fiber optic,91.89,4412.84,Bank transfer,4,yes
20072,62.0,16,one-year,DSL,109.0,1754.57,Bank transfer,1,no
20237,44.0,53,month-to-month,DSL,85.28,4527.08,Direct debit,2,no
20044,25.0,65,one-year,Fiber optic,92.71,6041.01,Direct debit,3,no
20902,,59,month-to-month,DSL,45.55,2703.86,Credit card,3,yes
20210,55.0,47,month-to-month,Fiber optic,65.96,3117.48,Credit card,1,no
20737,20.0,29,month-to-month,Fiber optic,117.11,3412.82,Bank transfer,1,yes
20847,,1,month-to-month,None,21.82,51.79,Bank transfer,2,no
20929,80.0,32,one-year,Fiber optic,106.21,3398.81,Direct debit,1,no
20758,66.0,43,one-year,DSL,81.56,3516.0,Bank transfer,1,no
20922,36.0,34,two-year,None,35.21,1191.26,Credit card,3,no
20292,53.0,39,two-year,Fiber optic,108.97,4270.63,Direct debit,3,no
20722,68.0,14,month-to-month,None,34.65,476.99,Credit card,2,yes
20665,73.0,40,month-to-month,Fiber optic,66.88,2687.86,Credit card,1,yes
20333,75.0,69,month-to-month,Fiber optic,75.98,5268.26,Direct debit,0,no
20664,76.0,32,two-year,Fiber optic,63.19,2020.27,Credit card,1,no
20631,36.0,49,month-to-month,Fiber optic,59.02,2894.52,Credit card,2,yes
20310,75.0,4,one-year,Fiber optic,106.52,418.25,Credit card,2,no
20370,21.0,3,month-to-month,Fiber optic,88.42,258.03,Direct debit,1,no
20707,20.0,36,month-to-month,None,22.67,833.39,Direct debit,1,no
20254,23.0,2,month-to-month,DSL,57.89,125.35,Credit card,1,no
20920,33.0,65,month-to-month,Fiber optic,92.67,6027.0,Direct debit,2,yes
20628,67.0,22,two-year,Fiber optic,91.59,2013.01,Credit card,0,no
20280,60.0,36,two-year,Fiber optic,94.75,3407.96,Direct debit,2,no
20060,31.0,36,month-to-month,Fiber optic,65.06,2363.72,Credit card,3,no
20528,58.0,3,one-year,None,17.04,79.55,Direct debit,3,no
20420,34.0,59,two-year,Fiber optic,85.17,5053.52,,0,no
20833,44.0,43,one-year,DSL,83.46,,Bank transfer,4,no
20139,68.0,25,one-year,Fiber optic,84.57,2144.18,Direct debit,1,no
20581,67.0,9,two-year,,100.76,,,2,no
20708,48.0,43,month-to-month,Fiber optic,61.55,2672.2,Credit card,2,yes
20281,65.0,59,one-year,Fiber optic,53.87,3170.18,Credit card,1,no
20715,23.0,20,month-to-month,,35.04,713.43,,1,yes
20929,80.0,32,one-year,Fiber optic,106.21,3398.81,Direct debit,1,no
20783,57.0,35,month-to-month,Fiber optic,74.47,2602.11,Credit card,3,yes
20110,40.0,60,month-to-month,DSL,104.48,6278.84,Direct debit,0,yes
20442,59.0,31,two-year,Fiber optic,82.29,2569.09,Direct debit,1,no
20819,55.0,35,one-year,DSL,47.17,1655.35,Credit card,1,no
20319,77.0,29,two-year,Fiber optic,76.95,2224.08,Bank transfer,5,no
20617,72.0,42,two-year,Fiber optic,118.94,5006.6,Direct debit,3,no
20440,56.0,63,one-year,Fiber optic,115.25,7265.39,Bank transfer,2,no
20198,54.0,4,month-to-month,None,29.03,142.37,Credit card,3,no
20381,78.0,66,month-to-month,None,21.48,1427.98,Bank transfer,3,no
20696,76.0,25,month-to-month,DSL,115.42,2913.7,Credit card,1,yes
20735,54.0,15,one-year,Fiber optic,84.12,1268.58,Credit card,0,no
20903,66.0,11,one-year,DSL,83.19,926.0,Direct debit,1,no
20525,77.0,23,month-to-month,Fiber optic,79.32,1818.44,Credit card,3,yes
20137,79.0,14,month-to-month,Fiber optic,49.21,683.32,Credit card,1,no
20486,20.0,5,month-to-month,DSL,54.31,285.52,Direct debit,4,no
20344,18.0,63,one-year,Fiber optic,60.53,3817.2,Bank transfer,1,no
20184,18.0,12,two-year,Fiber optic,63.16,756.81,Direct debit,0,no
20799,23.0,72,one-year,Fiber optic,110.04,,Bank transfer,1,no
20809,53.0,38,month-to-month,Fiber optic,65.37,2493.41,Bank transfer,1,no
20544,47.0,2,month-to-month,DSL,63.82,140.89,Direct debit,1,no
20168,41.0,39,two-year,Fiber optic,73.23,2883.98,Direct debit,3,no
20350,,64,month-to-month,DSL,105.92,6797.57,Credit card,5,yes
20737,20.0,29,month-to-month,Fiber optic,117.11,3412.82,Bank transfer,1,yes
20328,47.0,26,month-to-month,DSL,59.49,1538.12,Direct debit,0,no
20078,28.0,53,month-to-month,DSL,67.95,3599.86,Credit card,4,yes
20029,81.0,66,one-year,Fiber optic,73.05,4828.58,Credit card,4,no
20261,49.0,55,one-year,DSL,53.67,2979.96,Credit card,4,no
20753,26.0,35,two-year,Fiber optic,119.0,4156.49,Direct debit,1,no
20863,38.0,11,month-to-month,DSL,55.42,631.65,Bank transfer,2,yes
20630,68.0,51,two-year,Fiber optic,118.27,6029.57,Direct debit,0,no
20165,,2,month-to-month,,30.81,83.99,Direct debit,1,yes
20689,58.0,43,month-to-month,Fiber optic,83.59,3592.33,Direct debit,1,no
20436,70.0,63,month-to-month,,34.04,2159.93,Direct debit,3,no
20065,70.0,5,two-year,None,34.9,173.42,Credit card,3,no
20141,41.0,46,month-to-month,Fiber optic,57.56,2649.12,Direct debit,2,no
20684,35.0,18,month-to-month,DSL,54.83,991.34,Credit card,1,no
20767,81.0,14,two-year,DSL,69.32,998.12,Direct debit,0,no
20710,53.0,42,month-to-month,Fiber optic,49.67,2085.88,Direct debit,2,no
20673,45.0,69,month-to-month,Fiber optic,109.92,7574.88,Direct debit,0,yes
20759,79.0,44,month-to-month,,34.69,1537.15,Bank transfer,0,no
20765,18.0,25,two-year,DSL,64.7,1621.14,Credit card,1,no
20404,38.0,26,month-to-month,Fiber optic,91.44,2374.71,Direct debit,3,yes
20650,,32,month-to-month,DSL,48.52,1571.63,Bank transfer,2,yes
20797,56.0,10,month-to-month,None,34.91,339.81,Credit card,0,yes
20049,21.0,25,month-to-month,None,32.7,822.97,Bank transfer,1,yes
20712,23.0,69,month-to-month,Fiber optic,68.35,4710.34,Direct debit,3,yes
20363,27.0,5,month-to-month,Fiber optic,89.95,474.87,Credit card,1,yes
20798,,9,one-year,None,33.92,323.41,Direct debit,1,no
20361,50.0,10,two-year,Fiber optic,99.67,1016.56,Bank transfer,1,no
20883,,13,one-year,None,35.69,474.3,Direct debit,0,no
20525,77.0,23,month-to-month,Fiber optic,79.32,1818.44,Credit card,3,yes
20558,38.0,40,month-to-month,Fiber optic,87.35,3507.52,Credit card,5,yes
20363,27.0,5,month-to-month,Fiber optic,89.95,474.87,Credit card,1,yes
20784,56.0,54,one-year,Fiber optic,64.4,3471.7,Direct debit,3,no
20909,18.0,29,month-to-month,Fiber optic,67.75,,,3,no
20033,38.0,36,month-to-month,Fiber optic,69.64,2520.44,Credit card,1,yes
20031,,19,one-year,None,19.99,378.62,Bank transfer,2,no
20731,18.0,28,one-year,DSL,78.77,2210.91,Direct debit,1,no
20192,33.0,56,one-year,DSL,62.45,3506.94,Direct debit,1,no
20314,,22,month-to-month,Fiber optic,91.44,2030.78,Direct debit,1,no
20583,82.0,4,month-to-month,DSL,109.55,439.24,Bank transfer,0,yes
20235,71.0,19,month-to-month,,105.59,2000.32,Direct debit,3,yes
20305,75.0,62,month-to-month,DSL,84.83,5266.22,Bank transfer,4,yes
20697,50.0,71,month-to-month,Fiber optic,67.12,4779.96,Credit card,0,yes
20499,78.0,18,month-to-month,Fiber optic,64.31,1181.98,Bank transfer,3,no
20109,21.0,0,month-to-month,Fiber optic,80.79,19.47,Direct debit,0,yes
20616,40.0,52,one-year,DSL,70.64,3692.43,Bank transfer,3,no
20077,80.0,1,two-year,Fiber optic,63.27,76.8,Bank transfer,1,no
20927,55.0,24,two-year,Fiber optic,55.28,1323.95,Direct debit,4,no
20881,52.0,15,month-to-month,DSL,81.91,,Credit card,1,yes
20082,50.0,35,month-to-month,DSL,78.41,2767.35,Bank transfer,1,yes
20215,52.0,48,month-to-month,None,33.63,1636.97,Credit card,1,no
20327,30.0,45,one-year,None,22.61,1019.44,Credit card,5,no
20853,48.0,57,month-to-month,Fiber optic,107.81,6153.07,Credit card,1,yes
20377,,1,one-year,DSL,81.55,99.6,Credit card,3,no
20572,79.0,35,month-to-month,Fiber optic,86.05,3010.17,Direct debit,6,yes
20371,33.0,12,one-year,DSL,49.09,,Direct debit,1,no
20002,78.0,33,month-to-month,DSL,94.69,,Direct debit,0,yes
20101,31.0,61,two-year,None,30.49,1853.99,Credit card,0,no
20823,69.0,7,one-year,,83.54,601.53,Direct debit,1,no
20456,59.0,32,month-to-month,,65.56,2093.28,Credit card,2,no
20259,77.0,13,two-year,DSL,81.21,1063.7,Direct debit,1,no
20208,41.0,36,month-to-month,Fiber optic,69.05,2484.72,Credit card,2,no
20266,71.0,24,month-to-month,Fiber optic,118.56,2846.3,Direct debit,0,yes
20005,20.0,45,month-to-month,Fiber optic,106.21,4771.56,Credit card,1,yes
20054,71.0,17,month-to-month,DSL,55.74,960.47,Direct debit,4,yes
20675,74.0,22,one-year,Fiber optic,95.55,2114.97,Direct debit,2,no
20852,54.0,43,month-to-month,Fiber optic,96.76,4168.55,Credit card,0,no
20380,50.0,26,month-to-month,Fiber optic,91.82,2405.4,Credit card,1,yes
20493,23.0,13,month-to-month,None,15.7,199.12,Bank transfer,2,no
20097,64.0,55,month-to-month,None,29.93,1648.43,Direct debit,1,yes
20593,55.0,36,month-to-month,DSL,,3084.14,Direct debit,1,no
20204,37.0,29,one-year,Fiber optic,47.38,1371.89,,2,no
20814,72.0,18,one-year,Fiber optic,55.0,1002.48,Credit card,2,no
20657,64.0,68,two-year,Fiber optic,100.57,6848.5,Direct debit,2,no
20938,51.0,24,month-to-month,None,34.32,842.23,Credit card,5,yes
20523,25.0,57,month-to-month,None,35.94,2041.74,Credit card,5,yes
20921,57.0,1,month-to-month,Fiber optic,119.47,132.94,Credit card,1,no
20849,77.0,29,one-year,DSL,89.97,,,6,yes
20025,64.0,68,month-to-month,None,30.01,2065.33,Direct debit,1,yes
20084,58.0,28,month-to-month,Fiber optic,96.2,2702.14,Direct debit,3,yes
20010,55.0,13,month-to-month,Fiber optic,92.89,,Bank transfer,1,yes
20477,56.0,31,month-to-month,None,26.6,825.54,Bank transfer,1,no
20359,65.0,6,month-to-month,Fiber optic,51.07,304.41,Credit card,1,no
20634,59.0,7,one-year,,105.98,759.84,Direct debit,2,no
20633,22.0,0,two-year,Fiber optic,81.61,15.53,Direct debit,2,no
20465,25.0,65,one-year,DSL,107.74,7006.76,Direct debit,2,no
20533,50.0,48,month-to-month,DSL,107.1,5143.6,Bank transfer,0,yes
20514,,2,month-to-month,DSL,68.7,148.24,Bank transfer,1,yes
20247,52.0,8,month-to-month,Fiber optic,66.27,525.43,Credit card,0,yes
20118,45.0,50,month-to-month,Fiber optic,55.65,2782.67,Direct debit,4,yes
20541,83.0,41,one-year,Fiber optic,98.93,4050.81,Credit card,3,no
20382,68.0,55,month-to-month,DSL,59.28,3268.06,Credit card,2,yes
20250,34.0,34,two-year,Fiber optic,102.07,3469.32,Credit card,4,no
20321,23.0,30,two-year,None,26.36,820.15,Direct debit,3,no
20687,57.0,48,month-to-month,Fiber optic,101.27,4854.66,Direct debit,4,yes
20196,65.0,29,month-to-month,Fiber optic,51.09,1471.7,Bank transfer,3,yes
20846,29.0,43,month-to-month,Fiber optic,88.59,3810.1,Bank transfer,3,yes
20081,52.0,52,month-to-month,None,28.91,1517.03,Credit card,5,yes
20355,46.0,46,month-to-month,DSL,98.6,4563.42,Bank transfer,5,yes
20451,34.0,16,month-to-month,None,17.49,271.1,Direct debit,0,no
20795,70.0,70,two-year,None,38.42,2707.49,Direct debit,2,no
20239,38.0,40,one-year,Fiber optic,,2813.62,Direct debit,0,no
20917,66.0,14,one-year,DSL,93.34,1307.54,Direct debit,3,no
20211,42.0,64,month-to-month,Fiber optic,103.69,6633.77,Direct debit,2,yes
20703,79.0,24,month-to-month,Fiber optic,77.01,1875.31,Direct debit,2,yes
20479,62.0,7,month-to-month,Fiber optic,,597.5,Direct debit,3,yes
20425,66.0,24,two-year,,77.16,1842.03,Direct debit,5,no
20227,34.0,10,month-to-month,DSL,85.32,852.67,Credit card,4,yes
20837,60.0,7,two-year,DSL,94.08,675.15,Credit card,1,no
20535,30.0,35,one-year,DSL,118.59,,Bank transfer,2,no
20780,,38,two-year,Fiber optic,,4181.24,Credit card,1,no
20576,56.0,30,month-to-month,Fiber optic,,1838.88,Credit card,3,no
20545,22.0,17,month-to-month,DSL,52.54,886.34,Direct debit,1,no
20567,34.0,34,month-to-month,Fiber optic,57.73,1983.75,Credit card,4,yes
20942,24.0,67,month-to-month,None,24.01,,Direct debit,3,yes
20720,,35,month-to-month,DSL,98.65,3475.12,Bank transfer,1,yes
20773,77.0,25,month-to-month,DSL,74.42,1881.5,Bank transfer,6,yes
20007,70.0,67,month-to-month,None,28.97,1953.15,Bank transfer,1,yes
20155,19.0,58,two-year,None,30.09,1760.01,Bank transfer,4,no
20530,44.0,59,two-year,None,23.15,1383.72,Credit card,3,no
20464,55.0,21,month-to-month,None,22.2,483.77,Direct debit,2,no
20457,26.0,39,one-year,Fiber optic,107.08,4170.75,Bank transfer,2,no
20933,46.0,53,month-to-month,Fiber optic,48.94,2610.45,,1,no
20762,26.0,21,month-to-month,Fiber optic,48.79,1050.71,Direct debit,2,yes
20778,43.0,18,month-to-month,DSL,50.58,932.59,Credit card,2,no
20914,49.0,51,month-to-month,Fiber optic,51.86,2665.86,Bank transfer,1,yes
20588,64.0,56,month-to-month,Fiber optic,70.94,3982.21,Direct debit,0,yes
20913,79.0,6,two-year,DSL,77.42,489.96,Credit card,0,no
20428,36.0,8,month-to-month,None,15.87,137.33,Credit card,1,no
20519,41.0,62,month-to-month,None,34.62,2136.47,Direct debit,1,no
20570,62.0,39,two-year,DSL,,2083.32,Bank transfer,3,no
20494,75.0,11,month-to-month,None,30.57,356.89,Credit card,5,yes
20424,36.0,14,month-to-month,DSL,83.32,1195.39,Credit card,1,no
20429,26.0,37,one-year,DSL,70.02,2581.73,Credit card,1,no
20228,50.0,61,month-to-month,Fiber optic,58.87,3587.67,Bank transfer,2,yes
20332,36.0,34,two-year,Fiber optic,83.8,2854.81,Direct debit,0,no
20714,21.0,42,month-to-month,Fiber optic,82.71,3484.63,Credit card,3,yes
20212,35.0,52,one-year,Fiber optic,111.49,,Credit card,3,no
20079,25.0,64,one-year,Fiber optic,49.78,3179.8,Credit card,1,no
20148,29.0,25,one-year,Fiber optic,80.55,2031.23,Direct debit,3,no
20302,80.0,44,month-to-month,DSL,92.14,4054.59,Bank transfer,0,no
20307,79.0,37,two-year,,106.95,3975.51,Credit card,0,no
20481,75.0,49,month-to-month,Fiber optic,58.09,2856.52,Credit card,0,no
20323,72.0,11,one-year,Fiber optic,114.97,1284.78,Credit card,1,no
20806,46.0,17,month-to-month,None,17.28,307.8,Bank transfer,4,yes
20318,70.0,52,month-to-month,Fiber optic,63.14,3292.61,Direct debit,4,yes
20133,79.0,69,month-to-month,Fiber optic,88.7,6148.21,Credit card,2,no
20539,64.0,5,month-to-month,,35.34,178.27,Credit card,2,yes
20311,66.0,44,month-to-month,DSL,87.14,3824.9,Bank transfer,0,no
20595,55.0,43,two-year,Fiber optic,98.94,4277.15,Direct debit,3,no
20554,,1,one-year,Fiber optic,62.35,84.57,Bank transfer,3,no
20000,69.0,50,two-year,DSL,86.81,4348.47,,3,no
20316,77.0,9,one-year,Fiber optic,96.66,869.69,Credit card,4,yes
20692,43.0,65,one-year,Fiber optic,71.98,4694.25,Direct debit,1,no
20536,63.0,65,month-to-month,None,35.93,2340.85,Credit card,0,no
20490,73.0,2,month-to-month,Fiber optic,69.63,157.81,Credit card,4,yes
20521,25.0,48,month-to-month,Fiber optic,95.46,4608.78,Bank transfer,1,yes
20605,46.0,25,two-year,DSL,72.97,1819.19,Direct debit,2,no
20351,43.0,21,one-year,None,21.61,470.38,Direct debit,3,no
20172,20.0,3,month-to-month,DSL,52.91,150.05,Bank transfer,1,yes
20125,,16,month-to-month,None,21.0,347.08,Credit card,2,no
20750,82.0,60,month-to-month,None,21.18,1273.91,Credit card,6,yes
20398,43.0,63,two-year,Fiber optic,78.45,,Direct debit,1,no
20882,80.0,37,two-year,DSL,118.99,4421.95,Bank transfer,2,no
20090,65.0,58,month-to-month,Fiber optic,105.24,6107.45,Credit card,0,yes
20918,62.0,20,two-year,DSL,58.71,1199.7,Direct debit,5,no
20181,50.0,33,month-to-month,DSL,62.39,2049.46,Bank transfer,1,yes
20274,83.0,37,two-year,Fiber optic,97.57,3618.4,Credit card,1,no
20874,64.0,29,month-to-month,None,29.73,875.43,Direct debit,3,yes
20069,58.0,70,two-year,Fiber optic,65.53,4580.77,Direct debit,5,no
20291,74.0,39,month-to-month,,97.47,3794.69,Bank transfer,0,yes
20131,18.0,7,month-to-month,Fiber optic,54.92,382.02,Direct debit,4,yes
20300,83.0,40,one-year,DSL,80.86,3255.67,Direct debit,4,no
20636,39.0,4,one-year,DSL,,332.58,Credit card,4,no
20326,33.0,12,month-to-month,Fiber optic,101.95,1236.69,Direct debit,4,yes
20144,69.0,15,one-year,DSL,54.14,819.73,Credit card,1,no
20587,34.0,0,month-to-month,Fiber optic,108.82,-0.5,Credit card,1,yes
20135,44.0,24,month-to-month,Fiber optic,113.36,2715.63,Credit card,2,yes
20904,66.0,48,one-year,,55.45,2652.54,Credit card,2,no
20164,72.0,44,one-year,Fiber optic,68.37,3024.7,Direct debit,1,no
20028,72.0,1,month-to-month,DSL,73.95,74.55,Direct debit,1,no
20551,43.0,41,month-to-month,Fiber optic,71.26,2935.04,Direct debit,3,no
20193,77.0,15,two-year,Fiber optic,101.27,1545.52,,1,no
20886,24.0,65,month-to-month,DSL,106.11,6920.48,Bank transfer,1,yes
20625,84.0,22,two-year,DSL,82.9,1818.41,Bank transfer,6,yes
20169,28.0,54,month-to-month,None,,873.02,Direct debit,1,no
20934,72.0,51,month-to-month,Fiber optic,52.83,2699.48,Bank transfer,0,no
20140,61.0,25,month-to-month,DSL,57.87,1458.4,Direct debit,1,no
20173,37.0,24,one-year,Fiber optic,86.54,2105.12,Credit card,5,no
20006,39.0,15,one-year,Fiber optic,46.42,704.15,Direct debit,2,no
20629,78.0,44,month-to-month,,23.43,1056.13,Direct debit,1,no
20453,63.0,31,month-to-month,Fiber optic,51.32,1606.24,Credit card,2,no
20073,82.0,25,two-year,None,38.06,963.07,Direct debit,2,no
20669,35.0,30,month-to-month,Fiber optic,72.7,2182.17,Direct debit,1,yes
20575,51.0,46,month-to-month,Fiber optic,68.8,3166.41,Direct debit,4,yes
20238,44.0,56,one-year,Fiber optic,108.0,6058.42,Bank transfer,3,no
20145,79.0,70,month-to-month,DSL,76.19,,Direct debit,2,yes
20911,68.0,5,month-to-month,Fiber optic,71.9,354.52,Credit card,1,no
20234,68.0,71,month-to-month,Fiber optic,118.31,8390.72,Credit card,2,yes
20220,31.0,60,month-to-month,Fiber optic,54.14,3242.69,Credit card,2,no
20450,75.0,40,month-to-month,None,18.23,748.88,Direct debit,1,no
20483,78.0,61,two-year,Fiber optic,98.38,6019.23,Credit card,1,no
20132,44.0,20,one-year,,118.32,2372.45,Direct debit,3,no
20107,80.0,39,month-to-month,Fiber optic,,3455.02,Bank transfer,1,yes
20388,57.0,56,month-to-month,,99.38,5579.05,Direct debit,1,yes
20185,28.0,17,one-year,Fiber optic,50.48,856.48,Credit card,2,no
20041,19.0,13,month-to-month,None,34.31,465.72,,3,yes
